id	new_pbanka_id	B2toMG_RGR	B2toMG_SD	B2toMG_pheno	MGtoSG_RGR	MGtoSG_SD	MGtoSG_pheno	SGtoB2_RGR	SGtoB2_SD	SGtoB2_pheno	blood_RGR	blood_SD	blood_pheno	female_fertility_RGR	female_fertility_SD	female_fertility_pheno	male_fertility_RGR	male_fertility_SD	male_fertility_pheno	female_gam_RGR	female_gam_SD	female_gam_pheno	male_gam_RGR	male_gam_SD	male_gam_pheno	geneanot.id
157	PBANKA_0302100	-0.89542078	0.121422882	No power	-0.552434321	0.130226664	Not reduced	-0.676044512	0.166255215	No power	1.002363327	0.03694466	Dispensable	0.729932672093994	0.510472827368386	No data	-1.71395984929476	0.466860346491884	Not reduced	0.01292657305128534	0.2748418504240896	Not reduced	0.06961140945441269	0.2615118976564192	Not reduced	376
158	PBANKA_0302300	-1.338838555	0.167174771	Reduced	-0.92831737	0.201945162	No power	6.277080815	0.533230843	Not reduced	0.291583596	0.051814018	Slow	-3.10876125141368	0.0978728525227038	No data	-3.18968290551015	0.825023022203358	No data			NA			NA	378
159	PBANKA_0302400	-0.066627891	0.163797328	Not reduced	-0.296556787	0.160013696	Not reduced	1.125589534	0.250990843	Not reduced	0.717067988	0.041256687	Slow	-1.14125700694316	0.263935513202454	Not reduced	-0.0714495527604746	0.0919147883970966	Not reduced	0.314647264756897	0.0956253848341152	Not reduced	0.1987221996822384	0.1660612261682223	Not reduced	379
160	PBANKA_0302600	-0.488954582	0.068759398	Not reduced	-0.666592544	0.095681188	Not reduced	-0.384167037	0.147838706	Not reduced	1.000556317	0.034452053	Dispensable	-0.514176350429329	0.135460189186201	Not reduced	0.794943784780045	0.119960732301661	Not reduced	0.1747981774629378	0.3794070734566999	Not reduced	0.3714229233917806	0.4861539446495454	Not reduced	381
161	PBANKA_0302700			NA			NA			NA	0.187619425	0.049815672	Essential			NA			NA			NA			NA	382
162	PBANKA_0303400	0.289478241	0.068926913	Not reduced	-0.336202176	0.073907417	Not reduced	-0.508599286	0.334080455	No power	0.881494004	0.111600635	Dispensable	-0.32419877459561	0.53332965871089	Not reduced	1.1976914153943	0.107579457903462	Not reduced	-0.5200123405295729	0.2367175424172799	Not reduced	-0.1178767711449696	0.2549765107799842	Not reduced	389
163	PBANKA_0303600			NA			NA			NA	0.219832867	0.054674335	Slow			NA			NA			NA			NA	391
164	PBANKA_0303700	-0.199561664	0.124445439	Not reduced	-0.298127866	0.112247792	Not reduced	-0.039834506	0.222171378	Not reduced	0.947674511	0.072814088	Dispensable	-0.158363874391744	0.0782251942797899	Not reduced	-0.402398296673842	0.397671352923816	Not reduced	-0.00500574622716491	0.1980483060433642	Not reduced	0.0699280826376433	0.1860678698445699	Not reduced	392
165	PBANKA_0303800			NA			NA			NA	0.134562435	0.037785766	Essential			NA			NA			NA			NA	393
166	PBANKA_0304200	-0.031249879	1.466321425	No power	-0.192117054	0.850055251	No power	7.295411681	0.892055879	Not reduced	0.185333567	0.0366919	Slow			NA			NA			NA			NA	397
