gene	Gene	Barcodes	PbSTM168_3_GCKO#2GOMOSTM_t1_r1	PbSTM168_4_GCKO#2GOMOSTM_t2_r1	PbSTM168_5_145480GOMOSTM_t1_r1	PbSTM168_6_145480GOMOSTM_t2_r1	PbSTM168_9_GCKO#2GOMOSTM_mf1_r1	PbSTM168_10_GCKO#2GOMOSTM_mf2_r1	PbSTM168_11_145480GOMOSTM_mf1_r1	PbSTM168_12_145480GOMOSTM_mf2_r1	PbSTM168_29_GCKO#2GOMOSTM_d14_mf1.1_r1	PbSTM168_30_GCKO#2GOMOSTM_d14_mf1.2_r1	PbSTM168_31_GCKO#2GOMOSTM_d14_mf2.1_r1	PbSTM168_32_GCKO#2GOMOSTM_d14_mf2.2_r1	PbSTM168_33_145480GOMOSTM_d14_mf1.1_r1	PbSTM168_34_145480GOMOSTM_d14_mf1.2_r1	PbSTM168_35_145480GOMOSTM_d14_mf2.1_r1	PbSTM168_36_145480GOMOSTM_d14_mf2.2_r1	PbSTM168_3_GCKO#2GOMOSTM_t1_r2	PbSTM168_4_GCKO#2GOMOSTM_t2_r2	PbSTM168_5_145480GOMOSTM_t1_r2	PbSTM168_6_145480GOMOSTM_t2_r2	PbSTM168_9_GCKO#2GOMOSTM_mf1_r2	PbSTM168_10_GCKO#2GOMOSTM_mf2_r2	PbSTM168_11_145480GOMOSTM_mf1_r2	PbSTM168_12_145480GOMOSTM_mf2_r2	PbSTM168_29_GCKO#2GOMOSTM_d14_mf1.1_r2	PbSTM168_30_GCKO#2GOMOSTM_d14_mf1.2_r2	PbSTM168_31_GCKO#2GOMOSTM_d14_mf2.1_r2	PbSTM168_32_GCKO#2GOMOSTM_d14_mf2.2_r2	PbSTM168_33_145480GOMOSTM_d14_mf1.1_r2	PbSTM168_34_145480GOMOSTM_d14_mf1.2_r2	PbSTM168_35_145480GOMOSTM_d14_mf2.1_r2	PbSTM168_36_145480GOMOSTM_d14_mf2.2_r2
PBANKA_130130			946.5	1102.0	878.0	966.0	0.0	1519.0	4.0	40.5	0.0	0.0	0.5	0.5	0.0	0.0	11.5	26.0	578.0	878.5	641.5	695.0	0.0	1092.0	4.5	33.5	0.0	0.0	0.0	0.0	0.0	0.0	9.0	30.0
PBANKA_135960			894.5	662.0	838.0	853.5	952.0	1590.0	531.5	1692.0	2207.0	1977.0	2265.0	2357.0	0.0	0.0	0.0	0.0	540.5	516.0	598.0	603.5	946.5	1014.0	471.0	1391.5	1589.0	1661.0	1547.5	1761.0	0.0	0.0	3.0	0.0
PBANKA_030610			610.0	513.5	444.5	504.0	398.5	44.0	272.5	287.0	950.5	839.5	139.5	176.5	4.0	0.0	0.0	3.0	299.0	355.0	292.0	330.5	284.0	32.5	186.5	199.5	640.5	576.0	95.5	111.5	3.0	0.0	0.0	3.0
PBANKA_110420			1125.5	882.5	892.5	921.0	61.5	88.0	21.0	31.0	0.0	0.0	0.0	0.0	12.0	5.0	0.0	8.0	641.5	588.5	659.0	636.5	72.0	84.5	26.5	26.5	0.0	0.0	0.0	0.0	11.0	3.0	1.0	6.0
PBANKA_135970			1337.0	1039.0	1133.0	1141.0	1533.5	3146.5	4242.0	5279.5	41.0	44.0	64.0	35.5	5402.5	5407.0	5337.5	6513.5	851.0	806.5	847.5	779.0	1424.5	2249.5	3759.0	4176.5	30.0	46.0	42.0	39.5	3870.5	3608.0	4004.5	5713.0
PBANKA_143750			823.0	698.5	656.5	728.5	2023.0	12403.5	477.5	352.0	0.0	0.0	1.5	1.0	0.0	2.0	0.0	0.0	470.0	536.5	435.5	537.5	1971.5	8790.5	458.5	287.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PBANKA_051490			1349.5	907.5	1036.5	965.5	1140.0	45.5	786.0	1375.0	1229.5	1355.5	78.0	103.0	1392.0	2319.5	2387.5	2459.5	731.0	639.0	701.5	682.5	1080.5	37.0	648.0	972.5	826.0	947.0	59.5	82.5	1017.0	1458.0	1654.0	2052.5
PBANKA_050120			947.0	679.0	710.5	777.0	1628.0	1408.0	1498.0	1425.0	1954.0	1668.5	3137.0	3346.0	2877.5	2182.0	1836.0	2388.5	567.5	572.0	529.0	542.0	1566.5	943.5	1430.0	1152.5	1452.0	1361.5	2309.5	2528.0	2064.0	1387.5	1315.0	2030.5
PBANKA_060330			2272.0	2597.5	1982.0	2384.5	1852.0	804.5	160.0	417.0	143.5	144.0	95.5	150.5	315.5	360.0	382.5	500.0	1320.5	1962.5	1483.5	1589.0	1700.0	544.0	160.0	344.0	110.5	123.5	75.0	95.0	188.0	235.0	302.5	411.0
PBANKA_010110			2105.0	1686.5	1702.5	1731.5	3542.5	1657.0	2969.5	2354.0	5526.5	6723.5	3538.5	3078.5	4332.0	3595.5	1942.5	2415.5	1277.5	1209.5	1212.5	1165.5	3287.0	1178.5	2628.0	1866.0	3964.5	5331.5	2718.0	2248.5	3017.5	2449.0	1489.5	2033.5
PBANKA_130070			721.5	751.0	569.5	696.5	0.5	15.0	98.5	50.0	0.0	0.0	93.0	71.0	31.5	88.0	25.0	50.5	344.0	528.0	406.0	425.0	1.0	7.0	78.0	25.0	0.0	0.0	57.0	46.5	28.5	50.0	18.0	28.0
PBANKA_103820			1133.0	1200.5	901.5	1061.5	12.0	5.0	300.5	49.0	6.0	11.0	10.0	19.0	0.5	0.0	0.0	0.0	669.0	895.0	631.0	696.5	4.0	7.0	257.5	43.5	4.0	10.5	13.0	14.0	0.0	0.0	0.0	0.0
PBANKA_123360			1976.5	1627.5	1659.5	1782.5	1442.5	304.0	840.5	1803.0	696.0	774.5	280.5	359.5	946.0	909.5	1555.5	2058.5	1255.0	1213.0	1156.5	1284.0	1400.0	214.5	723.5	1411.0	514.5	600.0	234.0	244.0	632.5	601.0	1128.0	1843.0
PBANKA_061670			890.5	663.5	629.5	766.0	143.5	1300.5	437.5	1168.5	0.0	1.0	1.0	12.5	812.0	678.5	1078.5	1150.0	553.0	509.0	447.5	519.5	133.0	914.0	328.5	890.0	0.5	1.0	1.5	6.5	584.0	452.5	765.0	974.0
p230p-tag			511.0	417.5	395.0	396.5	78.0	459.5	184.5	602.0	107.5	153.5	929.0	1034.0	117.5	177.0	518.0	588.5	286.0	292.0	282.5	306.0	74.0	263.0	164.5	442.5	84.0	117.5	645.0	793.5	106.0	142.5	329.5	487.0
PBANKA_142210			917.5	897.5	834.5	893.0	306.5	558.0	482.0	310.0	467.5	371.5	1280.0	1328.5	770.5	667.0	270.5	268.0	581.0	688.0	606.5	606.0	273.5	351.5	438.0	252.0	371.0	260.5	982.5	1056.0	554.5	431.0	217.0	285.0
PBANKA_103780			1310.0	978.0	1133.0	1157.0	1724.0	2096.0	1925.0	3275.0	2701.5	2879.5	3626.0	3633.5	2713.5	2750.0	3864.0	4544.0	794.5	826.5	761.5	835.5	1616.5	1503.5	1685.5	2588.0	1887.0	2267.5	2642.5	2729.0	1956.0	1772.0	2860.5	4115.5
PBANKA_103010			524.5	429.5	447.5	500.0	265.0	1471.5	684.5	706.5	419.5	395.0	2955.0	2692.0	0.0	0.0	1.0	0.5	291.5	310.5	254.5	313.0	194.5	881.0	535.0	476.0	245.0	287.5	2019.0	2012.5	0.5	0.0	0.0	1.0
PBANKA_131950			1079.5	1205.0	964.0	1089.5	0.0	1095.0	44.5	28.0	0.0	0.5	890.0	910.5	20.0	95.5	17.5	11.0	622.5	868.0	699.0	757.0	0.0	737.5	36.0	8.0	0.0	0.0	703.5	690.0	24.0	50.5	26.0	7.0
PBANKA_051820			889.0	669.5	706.5	691.5	554.5	972.5	282.5	350.5	0.0	0.0	0.0	2.0	333.5	341.5	409.0	349.0	546.0	492.0	464.0	518.5	488.0	632.5	246.0	272.5	0.0	0.0	0.0	3.0	270.0	306.5	249.0	328.5
PBANKA_082800			906.0	676.0	698.0	739.0	4.0	88.5	77.5	37.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	560.0	515.5	514.5	497.0	3.5	62.5	69.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PBANKA_101640			773.0	607.0	598.0	682.5	15.5	41.0	22.5	27.0	17.0	12.5	36.0	60.5	60.5	75.0	13.0	7.0	463.0	488.5	435.0	445.0	8.0	28.5	22.0	15.0	11.0	18.0	19.0	39.0	58.5	60.0	8.0	10.0
PBANKA_103520			966.5	779.0	802.5	747.0	76.0	1002.5	34.0	39.5	88.0	60.5	871.0	1040.0	36.0	26.5	44.5	62.0	565.0	556.5	550.0	549.5	77.0	683.5	28.5	38.5	79.0	31.5	718.0	721.5	22.0	20.0	42.0	42.0
