PbGEM-ID	gene_id
PbGEM-121250	PBANKA_122560
PbGEM-121274	PBANKA_041350
PbGEM-005773	PBANKA_010510
PbGEM-050692	PBANKA_122990
PbGEM-111778	PBANKA_093370
PbGEM-106052	PBANKA_132380
PbGEM-044263	PBANKA_112980
PbGEM-052197	PBANKA_124120
PbGEM-095750	PBANKA_100640
PbGEM-097822	PBANKA_103780
PbGEM-065557	PBANKA_142370
PbGEM-036651	PBANKA_101610
PbGEM-009087	PBANKA_030260
PbGEM-010877	PBANKA_031590
PbGEM-064151	PBANKA_141360
PbGEM-059126	PBANKA_134380
PbGEM-067386	PBANKA_143630
PbGEM-066674	PBANKA_143150
PbGEM-022313	PBANKA_071430
PbGEM-053684	PBANKA_130450
PbGEM-061442	PBANKA_135960
PbGEM-019862	PBANKA_062030
PbGEM-041944	PBANKA_111340
PbGEM-093235	PBANKA_091360
PbGEM-106474	PBANKA_132940
PbGEM-111063	PBANKA_142920
PbGEM-103538	PBANKA_123320
PbGEM-042332	PBANKA_111600
PbGEM-328635	PBANKA_031200
PbGEM-263908	PBANKA_102600
PbGEM-262020	PBANKA_124490
PbGEM-252084	PBANKA_133810
PbGEM-236591	PBANKA_080720
PbGEM-248816	PBANKA_121830
PbGEM-233516	PBANKA_070330
PbGEM-260676	PBANKA_090420
PbGEM-239370	PBANKA_093210
PbGEM-243678	PBANKA_103830
PbGEM-249320	PBANKA_134800
PbGEM-230293	PBANKA_041170
PbGEM-264860	PBANKA_145700
PbGEM-265060	PBANKA_110760
PbGEM-309911	PBANKA_130050
PbGEM-292744	PBANKA_100220
PbGEM-287562	PBANKA_090510
PbGEM-227253	PBANKA_021390
PbGEM-291200	PBANKA_093360
PbGEM-237576	PBANKA_081180
PbGEM-307922	PBANKA_123240
PbGEM-287586	PBANKA_090520
PbGEM-281330	PBANKA_071020
PbGEM-329235	PBANKA_050120
PbGEM-299859	PBANKA_111760
PbGEM-317435	PBANKA_135820
PbGEM-333323	PBANKA_100010
PbGEM-330859	PBANKA_071270
PbGEM-293248	PBANKA_100520
PbGEM-273282	PBANKA_041780
PbGEM-288074	PBANKA_090860
PbGEM-261516	PBANKA_123740
PbGEM-298005	PBANKA_110220
PbGEM-276154	PBANKA_051970
PbGEM-286266	PBANKA_083200
PbGEM-343220	PBANKA_140170
PbGEM-342996	PBANKA_131070
PbGEM-343260	PBANKA_141470
PbGEM-337179	PBANKA_123960
PbGEM-342124	PBANKA_081600
PbGEM-327491	PBANKA_010010
PbGEM-247030	PBANKA_113810
PbGEM-332155	PBANKA_083680
PbGEM-326387	PBANKA_146300
PbGEM-339371	PBANKA_140240
PbGEM-332227	PBANKA_090200
PbGEM-333467	PBANKA_100350
PbGEM-332323	PBANKA_090530
PbGEM-310583	PBANKA_130480
PbGEM-266212	PBANKA_010220
PbGEM-339443	PBANKA_140430
PbGEM-304850	PBANKA_121000
PbGEM-271138	PBANKA_031490
PbGEM-272490	PBANKA_041190
PbGEM-294520	PBANKA_101470
PbGEM-320627	PBANKA_141700
PbGEM-333995	PBANKA_101935
PbGEM-306626	PBANKA_122300
PbGEM-307282	PBANKA_122750
PbGEM-301306	PBANKA_112890
PbGEM-290656	PBANKA_092930
PbGEM-294982	PBANKA_101900
PbGEM-313781	PBANKA_132900
PbGEM-332139	PBANKA_083655
PbGEM-308649	PBANKA_123830
PbGEM-334611	PBANKA_104000
PbGEM-337307	PBANKA_124440
PbGEM-340827	PBANKA_145190
PbGEM-293880	PBANKA_100960
PbGEM-339211	PBANKA_136180
PbGEM-456558	PBANKA_114590
PbGEM-273690	PBANKA_050200
PbGEM-268595	PBANKA_020920
PbGEM-099789	PBANKA_112690
PbGEM-046708	PBANKA_120200
PbGEM-036523	PBANKA_101530
PbGEM-050127	PBANKA_122580
PbGEM-079665	PBANKA_144160
PbGEM-068823	PBANKA_144600
PbGEM-537195	PBANKA_141770
PbGEM-535555	PBANKA_103220
PbGEM-535875	PBANKA_113490
PbGEM-538163	PBANKA_052240
PbGEM-263460	PBANKA_101980
PbGEM-253484	PBANKA_134250
PbGEM-261452	PBANKA_123640
PbGEM-237378	PBANKA_072200
PbGEM-341555	PBANKA_061590
PbGEM-341547	PBANKA_081240
PbGEM-234694	PBANKA_061680
PbGEM-330283	PBANKA_061570
PbGEM-293440	PBANKA_100630
