PbGEM-ID	gene_id
PbGEM-257581	PBANKA_143890
PbGEM-328739	PBANKA_040050
PbGEM-297662	PBANKA_104020
PbGEM-330891	PBANKA_071350
PbGEM-328347	PBANKA_030060
PbGEM-331019	PBANKA_071870
PbGEM-328771	PBANKA_040170
PbGEM-334675	PBANKA_110230
PbGEM-327675	PBANKA_010530
PbGEM-268883	PBANKA_021200
PbGEM-334955	PBANKA_110960
PbGEM-336483	PBANKA_121470
PbGEM-337659	PBANKA_130980
PbGEM-285074	PBANKA_082130
PbGEM-321611	PBANKA_142540
PbGEM-321659	PBANKA_142580
PbGEM-332955	PBANKA_093010
PbGEM-312173	PBANKA_131690
PbGEM-336963	PBANKA_123070
PbGEM-338227	PBANKA_132960
PbGEM-296110	PBANKA_102730
PbGEM-323819	PBANKA_144240
PbGEM-231805	PBANKA_050265
PbGEM-334115	PBANKA_102460
PbGEM-329235	PBANKA_050120
PbGEM-266100	PBANKA_010110
PbGEM-321267	PBANKA_142210
PbGEM-072498	PBANKA_061670
PbGEM-343204	PBANKA_135970
PbGEM-061442	PBANKA_135960
PbGEM-329547	PBANKA_051060
