PbGEM-ID	gene_id
PbGEM-121306	PBANKA_052020
PbGEM-006154	PBANKA_010770
PbGEM-111674	PBANKA_122500
PbGEM-023655	PBANKA_080220
PbGEM-015181	PBANKA_051210
PbGEM-021641	PBANKA_070940
PbGEM-037559	PBANKA_102230
PbGEM-027695	PBANKA_083260
PbGEM-022521	PBANKA_071560
PbGEM-043567	PBANKA_112490
PbGEM-069893	PBANKA_145330
PbGEM-083773	PBANKA_031240
PbGEM-013945	PBANKA_050350
PbGEM-235866	PBANKA_062270
PbGEM-260988	PBANKA_123000
PbGEM-239468	PBANKA_093250
PbGEM-246799	PBANKA_113720
PbGEM-251753	PBANKA_131480
PbGEM-259156	PBANKA_146340
PbGEM-253763	PBANKA_132050
PbGEM-244963	PBANKA_111710
PbGEM-243206	PBANKA_103640
PbGEM-228889	PBANKA_030840
PbGEM-252781	PBANKA_134020
PbGEM-262740	PBANKA_101010
PbGEM-243939	PBANKA_103930
PbGEM-236470	PBANKA_071810
PbGEM-264132	PBANKA_103620
PbGEM-236468	PBANKA_080660
PbGEM-266931	PBANKA_010730
PbGEM-283354	PBANKA_080490
PbGEM-304074	PBANKA_120390
PbGEM-279650	PBANKA_062180
PbGEM-324875	PBANKA_145070
PbGEM-232916	PBANKA_052040
PbGEM-326131	PBANKA_146110
PbGEM-333427	PBANKA_100230
PbGEM-328971	PBANKA_040830
PbGEM-290680	PBANKA_092940
PbGEM-336099	PBANKA_120160
PbGEM-263692	PBANKA_102320
PbGEM-240365	PBANKA_092090
PbGEM-265364	PBANKA_133460
PbGEM-304250	PBANKA_120500
PbGEM-290480	PBANKA_092820
PbGEM-313581	PBANKA_132700
PbGEM-280690	PBANKA_070630
PbGEM-283794	PBANKA_080870
PbGEM-327683	PBANKA_010550
PbGEM-335115	PBANKA_111550
PbGEM-273242	PBANKA_041740
PbGEM-343364	PBANKA_143610
PbGEM-342540	PBANKA_104010
PbGEM-332307	PBANKA_090430
PbGEM-271498	PBANKA_040290
PbGEM-271546	PBANKA_040340
PbGEM-267843	PBANKA_020390
PbGEM-329379	PBANKA_050590
PbGEM-283610	PBANKA_080730
PbGEM-277810	PBANKA_060870
PbGEM-288018	PBANKA_090820
PbGEM-319995	PBANKA_141120
PbGEM-312029	PBANKA_131610
PbGEM-317363	PBANKA_135780
PbGEM-065839	PBANKA_142590
PbGEM-091576	PBANKA_082450
PbGEM-009046	PBANKA_030230
PbGEM-058996	PBANKA_134280
PbGEM-043245	PBANKA_112280
PbGEM-012274	PBANKA_041030
PbGEM-096343	PBANKA_101400
PbGEM-091380	PBANKA_082170
PbGEM-108540	PBANKA_135860
PbGEM-083434	PBANKA_030860
PbGEM-106603	PBANKA_133060
PbGEM-105499	PBANKA_131750
PbGEM-101822	PBANKA_120640
PbGEM-089700	PBANKA_071760
PbGEM-036911	PBANKA_101800
PbGEM-082330	PBANKA_020760
PbGEM-536243	PBANKA_122320
PbGEM-534179	PBANKA_061800
PbGEM-535243	PBANKA_100130
PbGEM-252597	PBANKA_122770
PbGEM-236973	PBANKA_072060
PbGEM-254102	PBANKA_142640
PbGEM-227680	PBANKA_030170
PbGEM-246443	PBANKA_110840
PbGEM-230237	PBANKA_031520
PbGEM-264748	PBANKA_094330
PbGEM-265332	PBANKA_030460
PbGEM-264356	PBANKA_070220
PbGEM-307194	PBANKA_122650
PbGEM-293400	PBANKA_100610
PbGEM-311255	PBANKA_130970
PbGEM-312805	PBANKA_132170
PbGEM-332923	PBANKA_092890
PbGEM-335867	PBANKA_113880
PbGEM-328427	PBANKA_030450
PbGEM-317307	PBANKA_135740
PbGEM-246982	PBANKA_121230
PbGEM-269987	PBANKA_030580
PbGEM-336171	PBANKA_120440
PbGEM-332315	PBANKA_090440
PbGEM-288226	PBANKA_091010
PbGEM-333763	PBANKA_101240
PbGEM-327659	PBANKA_010490
PbGEM-284562	PBANKA_081620
PbGEM-292200	PBANKA_094130
PbGEM-325811	PBANKA_145800
PbGEM-342844	PBANKA_121650
PbGEM-337395	PBANKA_130150
PbGEM-300531	PBANKA_112220
PbGEM-330515	PBANKA_070120
PbGEM-339395	PBANKA_140310
PbGEM-327907	PBANKA_020260
PbGEM-310447	PBANKA_130400
PbGEM-268283	PBANKA_020710
PbGEM-293896	PBANKA_100970
PbGEM-327795	PBANKA_010870
PbGEM-294664	PBANKA_101650
PbGEM-337811	PBANKA_131630
PbGEM-323179	PBANKA_143780
PbGEM-340627	PBANKA_144710
PbGEM-336339	PBANKA_121080
PbGEM-302914	PBANKA_114150
PbGEM-273786	PBANKA_050250
PbGEM-293632	PBANKA_100770
PbGEM-272042	PBANKA_040720
PbGEM-121258	PBANKA_101810
PbGEM-087803	PBANKA_061520
PbGEM-065482	PBANKA_142310
PbGEM-061533	PBANKA_136030
PbGEM-062848	PBANKA_140410
PbGEM-109041	PBANKA_136440
PbGEM-011485	PBANKA_040480
PbGEM-065418	PBANKA_142270
PbGEM-092506	PBANKA_090140
PbGEM-108389	PBANKA_135620
PbGEM-019700	PBANKA_061920
PbGEM-041538	PBANKA_111060
PbGEM-029428	PBANKA_090870
PbGEM-230925	PBANKA_050650
PbGEM-256413	PBANKA_144690
PbGEM-229398	PBANKA_040670
PbGEM-231102	PBANKA_041690
PbGEM-259444	PBANKA_082400
PbGEM-248353	PBANKA_112780
PbGEM-264676	PBANKA_100360
PbGEM-296470	PBANKA_103080
PbGEM-275114	PBANKA_051270
PbGEM-318995	PBANKA_140450
PbGEM-289441	PBANKA_091910
PbGEM-332491	PBANKA_091150
PbGEM-311741	PBANKA_131420
PbGEM-316355	PBANKA_134910
PbGEM-282090	PBANKA_071660
PbGEM-296182	PBANKA_102760
PbGEM-333507	PBANKA_100530
PbGEM-251495	PBANKA_135330
PbGEM-300147	PBANKA_111970
PbGEM-272546	PBANKA_041240
PbGEM-330491	PBANKA_070070
PbGEM-310711	PBANKA_130560
PbGEM-283834	PBANKA_080910
PbGEM-290624	PBANKA_092910
PbGEM-342380	PBANKA_100160
PbGEM-342412	PBANKA_101080
PbGEM-342052	PBANKA_071550
PbGEM-342620	PBANKA_111770
PbGEM-342660	PBANKA_113140
PbGEM-343124	PBANKA_134300
PbGEM-342348	PBANKA_093660
PbGEM-343188	PBANKA_135660
PbGEM-342316	PBANKA_093090
PbGEM-332171	PBANKA_090040
PbGEM-333555	PBANKA_100620
PbGEM-338443	PBANKA_133730
PbGEM-329323	PBANKA_050380
PbGEM-327467	PBANKA_000330
PbGEM-292520	PBANKA_100080
PbGEM-287690	PBANKA_090620
PbGEM-281090	PBANKA_070820
PbGEM-272242	PBANKA_040980
PbGEM-281386	PBANKA_071050
PbGEM-288578	PBANKA_091280
PbGEM-273114	PBANKA_041640
PbGEM-278546	PBANKA_061490
PbGEM-300779	PBANKA_112460
PbGEM-321059	PBANKA_142040
PbGEM-340163	PBANKA_143350
PbGEM-456558	PBANKA_114590
PbGEM-072542	PBANKA_146050
PbGEM-334115	PBANKA_102460
PbGEM-329235	PBANKA_050120
PbGEM-266100	PBANKA_010110
PbGEM-321267	PBANKA_142210
PbGEM-072498	PBANKA_061670
PbGEM-343204	PBANKA_135970
PbGEM-061442	PBANKA_135960
PbGEM-329547	PBANKA_051060
