PbGEM-ID	gene_id	pool
PbGEM-289385	PBANKA_091890	1
PbGEM-336595	PBANKA_121810	1
PbGEM-334115	PBANKA_102460	1
PbGEM-336155	PBANKA_120400	1
PbGEM-290856	PBANKA_093100	1
PbGEM-337723	PBANKA_131280	1
PbGEM-325915	PBANKA_145870	1
PbGEM-310399	PBANKA_130340	1
PbGEM-340635	PBANKA_144720	1
PbGEM-227028	PBANKA_010520	1
PbGEM-293312	PBANKA_100570	1
PbGEM-329059	PBANKA_041300	1
PbGEM-290512	PBANKA_092840	1
PbGEM-327555	PBANKA_010240	1
PbGEM-331419	PBANKA_080710	1
PbGEM-268131	PBANKA_020610	1
PbGEM-337083	PBANKA_123430	1
PbGEM-342572	PBANKA_110800	1
PbGEM-257581	PBANKA_143890	1
PbGEM-328739	PBANKA_040050	1
PbGEM-297662	PBANKA_104020	1
PbGEM-330891	PBANKA_071350	1
PbGEM-328347	PBANKA_030060	1
PbGEM-331019	PBANKA_071870	1
PbGEM-328771	PBANKA_040170	1
PbGEM-334675	PBANKA_110230	1
PbGEM-327675	PBANKA_010530	1
PbGEM-268883	PBANKA_021200	1
PbGEM-334955	PBANKA_110960	1
PbGEM-336483	PBANKA_121470	1
PbGEM-337659	PBANKA_130980	1
PbGEM-285074	PBANKA_082130	1
PbGEM-321611	PBANKA_142540	1
PbGEM-321659	PBANKA_142580	1
PbGEM-332955	PBANKA_093010	1
PbGEM-312173	PBANKA_131690	1
PbGEM-336963	PBANKA_123070	1
PbGEM-338227	PBANKA_132960	1
PbGEM-296110	PBANKA_102730	1
PbGEM-323819	PBANKA_144240	1
PbGEM-231805	PBANKA_050265	1
PbGEM-334115	PBANKA_102460	1
PbGEM-329235	PBANKA_050120	1
PbGEM-266100	PBANKA_010110	1
PbGEM-321267	PBANKA_142210	1
PbGEM-072498	PBANKA_061670	1
PbGEM-343204	PBANKA_135970	1
PbGEM-061442	PBANKA_135960	1
PbGEM-329547	PBANKA_051060	1
PbGEM-121266	PBANKA_111510	2
PbGEM-108848	PBANKA_136210	2
PbGEM-102303	PBANKA_121260	2
