PbGEM-ID	gene_id
PbGEM-088411	PBANKA_062320
PbGEM-096504	PBANKA_101750
PbGEM-041570	PBANKA_111080
PbGEM-055524	PBANKA_131720
PbGEM-018598	PBANKA_061140
PbGEM-086320	PBANKA_051760
PbGEM-090509	PBANKA_080650
PbGEM-055230	PBANKA_131510
PbGEM-095192	PBANKA_094340
PbGEM-533723	PBANKA_050300
PbGEM-536571	PBANKA_130960
PbGEM-535011	PBANKA_092690
PbGEM-538891	PBANKA_122820
PbGEM-534555	PBANKA_081300
PbGEM-533115	PBANKA_010190
PbGEM-539091	PBANKA_132210
PbGEM-534219	PBANKA_062070
PbGEM-259700	PBANKA_082740
PbGEM-264140	PBANKA_040840
PbGEM-265388	PBANKA_010920
PbGEM-294448	PBANKA_101410
PbGEM-299539	PBANKA_111500
PbGEM-288058	PBANKA_090840
PbGEM-313293	PBANKA_132470
PbGEM-331755	PBANKA_082300
PbGEM-342172	PBANKA_090210
PbGEM-328491	PBANKA_030600
PbGEM-329539	PBANKA_051050
PbGEM-329187	PBANKA_041810
PbGEM-329795	PBANKA_052010
PbGEM-295390	PBANKA_102210
PbGEM-338515	PBANKA_133950
PbGEM-079278	PBANKA_143660
PbGEM-098495	PBANKA_110690
PbGEM-083189	PBANKA_030510
PbGEM-096918	PBANKA_102340
PbGEM-090491	PBANKA_080630
PbGEM-087458	PBANKA_061110
PbGEM-534763	PBANKA_090020
PbGEM-536083	PBANKA_120420
PbGEM-538579	PBANKA_100710
PbGEM-537067	PBANKA_140300
PbGEM-533227	PBANKA_020020
PbGEM-536075	PBANKA_120370
PbGEM-263764	PBANKA_102410
PbGEM-244357	PBANKA_111440
PbGEM-267699	PBANKA_020270
PbGEM-290856	PBANKA_093100
PbGEM-293312	PBANKA_100570
PbGEM-257581	PBANKA_143890
PbGEM-334675	PBANKA_110230
PbGEM-327675	PBANKA_010530
PbGEM-334955	PBANKA_110960
PbGEM-285074	PBANKA_082130
PbGEM-312173	PBANKA_131690
PbGEM-231805	PBANKA_050265
PbGEM-099883	PBANKA_112810
PbGEM-036306	PBANKA_101390
PbGEM-042008	PBANKA_111380
PbGEM-106217	PBANKA_132610
PbGEM-058661	PBANKA_134040
PbGEM-066015	PBANKA_142700
PbGEM-097088	PBANKA_102630
PbGEM-088353	PBANKA_062240
PbGEM-533195	PBANKA_011110
PbGEM-239781	PBANKA_093350
PbGEM-298717	PBANKA_110780
PbGEM-236932	PBANKA_080900
PbGEM-249381	PBANKA_121970
PbGEM-295934	PBANKA_102620
PbGEM-276922	PBANKA_060150
PbGEM-286250	PBANKA_083180
PbGEM-277090	PBANKA_060300
PbGEM-277818	PBANKA_060880
PbGEM-288737	PBANKA_091410
PbGEM-330915	PBANKA_071450
PbGEM-335691	PBANKA_113240
PbGEM-030028	PBANKA_091260
PbGEM-048328	PBANKA_121340
PbGEM-064944	PBANKA_141930
PbGEM-241496	PBANKA_102970
PbGEM-342804	PBANKA_121040
PbGEM-303170	PBANKA_114370
PbGEM-304362	PBANKA_120570
PbGEM-270810	PBANKA_031210
PbGEM-336035	PBANKA_114550
PbGEM-330635	PBANKA_070490
PbGEM-334115	PBANKA_102460
PbGEM-329235	PBANKA_050120
PbGEM-266100	PBANKA_010110
PbGEM-321267	PBANKA_142210
PbGEM-072498	PBANKA_061670
PbGEM-343204	PBANKA_135970
PbGEM-061442	PBANKA_135960
PbGEM-329547	PBANKA_051060
