PbGEM-ID	gene_id
PbGEM-267235	PBANKA_011040
PbGEM-328667	PBANKA_031330
PbGEM-335923	PBANKA_114230
PbGEM-283154	PBANKA_080360
PbGEM-330667	PBANKA_070570
PbGEM-293232	PBANKA_100500
PbGEM-304722	PBANKA_120850
PbGEM-266819	PBANKA_010660
PbGEM-335203	PBANKA_111850
PbGEM-331067	PBANKA_072020
PbGEM-336739	PBANKA_122270
PbGEM-322275	PBANKA_143160
PbGEM-307522	PBANKA_122960
PbGEM-340675	PBANKA_144790
PbGEM-315947	PBANKA_134580
PbGEM-336571	PBANKA_121710
PbGEM-227604	PBANKA_010950
PbGEM-330683	PBANKA_070590
PbGEM-334115	PBANKA_102460
PbGEM-329235	PBANKA_050120
PbGEM-266100	PBANKA_010110
PbGEM-321267	PBANKA_142210
PbGEM-072498	PBANKA_061670
PbGEM-343204	PBANKA_135970
PbGEM-061442	PBANKA_135960
PbGEM-329547	PBANKA_051060
