PbGEM-ID	gene_id
PbGEM-054729	PBANKA_131140
PbGEM-015545	PBANKA_051490
PbGEM-021287	PBANKA_070710
PbGEM-057898	PBANKA_133500
PbGEM-111802	PBANKA_135260
PbGEM-111826	PBANKA_040820
PbGEM-032866	PBANKA_093390
PbGEM-021894	PBANKA_071120
PbGEM-024371	PBANKA_080690
PbGEM-050063	PBANKA_122540
PbGEM-106899	PBANKA_133490
PbGEM-111148	PBANKA_143030
PbGEM-063795	PBANKA_141050
PbGEM-049404	PBANKA_122100
PbGEM-008620	PBANKA_021420
PbGEM-058012	PBANKA_133580
PbGEM-048959	PBANKA_121800
PbGEM-106571	PBANKA_133040
PbGEM-100931	PBANKA_114130
PbGEM-111172	PBANKA_143080
PbGEM-057298	PBANKA_133090
PbGEM-021910	PBANKA_071130
PbGEM-066521	PBANKA_143060
PbGEM-011857	PBANKA_040730
PbGEM-035437	PBANKA_100790
PbGEM-051214	PBANKA_123360
PbGEM-037288	PBANKA_102030
PbGEM-032387	PBANKA_093080
PbGEM-093488	PBANKA_091670
PbGEM-098697	PBANKA_110930
PbGEM-312837	PBANKA_132200
PbGEM-247164	PBANKA_113860
PbGEM-254107	PBANKA_136040
PbGEM-249387	PBANKA_134810
PbGEM-242532	PBANKA_103360
PbGEM-244426	PBANKA_111470
PbGEM-256341	PBANKA_143400
PbGEM-245297	PBANKA_110480
PbGEM-243822	PBANKA_100550
PbGEM-232086	PBANKA_051535
PbGEM-263492	PBANKA_102020
PbGEM-264780	PBANKA_061960
PbGEM-228846	PBANKA_040430
PbGEM-322203	PBANKA_143090
PbGEM-298173	PBANKA_110330
PbGEM-328843	PBANKA_040470
PbGEM-329163	PBANKA_041710
PbGEM-338923	PBANKA_135460
PbGEM-322939	PBANKA_143590
PbGEM-252132	PBANKA_133820
PbGEM-290089	PBANKA_092600
PbGEM-335707	PBANKA_113280
PbGEM-274330	PBANKA_050720
PbGEM-298997	PBANKA_110990
PbGEM-336467	PBANKA_121440
PbGEM-332595	PBANKA_091510
PbGEM-290936	PBANKA_093190
PbGEM-330539	PBANKA_070200
PbGEM-292784	PBANKA_100250
PbGEM-335947	PBANKA_114320
PbGEM-313077	PBANKA_132330
PbGEM-269179	PBANKA_021460
PbGEM-338811	PBANKA_134980
PbGEM-340155	PBANKA_143320
PbGEM-341107	PBANKA_146100
PbGEM-287242	PBANKA_090250
PbGEM-330011	PBANKA_060380
PbGEM-334667	PBANKA_110150
PbGEM-309377	PBANKA_124400
PbGEM-238655	PBANKA_081680
PbGEM-343052	PBANKA_132360
PbGEM-342108	PBANKA_081420
PbGEM-232621	PBANKA_051850
PbGEM-333539	PBANKA_100590
