PbGEM-ID	gene_id
PbGEM-121266	PBANKA_111510
PbGEM-108848	PBANKA_136210
PbGEM-102303	PBANKA_121260
PbGEM-064297	PBANKA_141460
PbGEM-099883	PBANKA_112810
PbGEM-041695	PBANKA_111180
PbGEM-036306	PBANKA_101390
PbGEM-042008	PBANKA_111380
PbGEM-096105	PBANKA_101050
PbGEM-059959	PBANKA_134940
PbGEM-067210	PBANKA_143520
PbGEM-084632	PBANKA_041065
PbGEM-093381	PBANKA_091600
PbGEM-106217	PBANKA_132610
PbGEM-058661	PBANKA_134040
PbGEM-027775	PBANKA_083310
PbGEM-043181	PBANKA_112240
PbGEM-009249	PBANKA_030370
PbGEM-030952	PBANKA_091990
PbGEM-048376	PBANKA_121370
PbGEM-021746	PBANKA_071010
PbGEM-015197	PBANKA_051220
PbGEM-066015	PBANKA_142700
PbGEM-082644	PBANKA_021140
PbGEM-102772	PBANKA_122030
PbGEM-097088	PBANKA_102630
PbGEM-088353	PBANKA_062240
PbGEM-533427	PBANKA_030610
PbGEM-533467	PBANKA_030890
PbGEM-533195	PBANKA_011110
PbGEM-534107	PBANKA_061190
PbGEM-533851	PBANKA_051350
PbGEM-533419	PBANKA_030340
PbGEM-533099	PBANKA_010040
PbGEM-536539	PBANKA_130790
PbGEM-535235	PBANKA_100030
PbGEM-230537	PBANKA_040120
PbGEM-227922	PBANKA_011250
PbGEM-241876	PBANKA_094230
PbGEM-257126	PBANKA_144980
PbGEM-239781	PBANKA_093350
PbGEM-247352	PBANKA_113950
PbGEM-232294	PBANKA_051660
PbGEM-226701	PBANKA_010160
PbGEM-264852	PBANKA_143860
PbGEM-298717	PBANKA_110780
PbGEM-326459	PBANKA_146370
PbGEM-305946	PBANKA_121770
PbGEM-240478	PBANKA_092160
PbGEM-236932	PBANKA_080900
PbGEM-249381	PBANKA_121970
PbGEM-275858	PBANKA_051820
PbGEM-295934	PBANKA_102620
PbGEM-237320	PBANKA_090850
PbGEM-236279	PBANKA_080590
PbGEM-333619	PBANKA_100870
PbGEM-328723	PBANKA_031660
PbGEM-334763	PBANKA_110430
PbGEM-303882	PBANKA_120290
PbGEM-330747	PBANKA_070850
PbGEM-336371	PBANKA_121180
PbGEM-341067	PBANKA_145980
PbGEM-229203	PBANKA_020830
PbGEM-245543	PBANKA_113340
PbGEM-300555	PBANKA_112230
PbGEM-338835	PBANKA_135120
PbGEM-292488	PBANKA_100060
PbGEM-334827	PBANKA_110640
PbGEM-276922	PBANKA_060150
PbGEM-331827	PBANKA_082640
PbGEM-286250	PBANKA_083180
PbGEM-343452	PBANKA_145920
PbGEM-271442	PBANKA_040240
PbGEM-328747	PBANKA_040060
PbGEM-318395	PBANKA_140020
PbGEM-286938	PBANKA_090030
PbGEM-334035	PBANKA_102070
PbGEM-277090	PBANKA_060300
PbGEM-268195	PBANKA_020670
PbGEM-272202	PBANKA_040950
PbGEM-277818	PBANKA_060880
PbGEM-336427	PBANKA_121320
PbGEM-329075	PBANKA_041340
PbGEM-335099	PBANKA_111520
PbGEM-288737	PBANKA_091410
PbGEM-336539	PBANKA_121630
PbGEM-330915	PBANKA_071450
PbGEM-329707	PBANKA_051710
PbGEM-331683	PBANKA_081940
PbGEM-337939	PBANKA_132010
PbGEM-336811	PBANKA_122510
PbGEM-289969	PBANKA_092500
PbGEM-285522	PBANKA_082530
PbGEM-335691	PBANKA_113240
PbGEM-314709	PBANKA_133650
PbGEM-324235	PBANKA_144570
PbGEM-337115	PBANKA_123590
PbGEM-307226	PBANKA_122680
PbGEM-072502	PBANKA_082710
PbGEM-121322	PBANKA_041050
PbGEM-018144	PBANKA_060800
PbGEM-030772	PBANKA_091860
PbGEM-011394	PBANKA_040410
PbGEM-030788	PBANKA_091870
PbGEM-086151	PBANKA_051520
PbGEM-103704	PBANKA_123730
PbGEM-026405	PBANKA_082320
PbGEM-026560	PBANKA_082430
PbGEM-027375	PBANKA_083040
PbGEM-058133	PBANKA_133660
PbGEM-080757	PBANKA_145770
PbGEM-036774	PBANKA_101700
PbGEM-022409	PBANKA_071490
PbGEM-043599	PBANKA_112510
PbGEM-051034	PBANKA_123230
PbGEM-042878	PBANKA_112020
PbGEM-030028	PBANKA_091260
PbGEM-041992	PBANKA_111370
PbGEM-048328	PBANKA_121340
PbGEM-110413	PBANKA_141910
PbGEM-101938	PBANKA_120800
PbGEM-069268	PBANKA_144900
PbGEM-064944	PBANKA_141930
PbGEM-100629	PBANKA_113740
PbGEM-257060	PBANKA_142150
PbGEM-533923	PBANKA_051950
PbGEM-258884	PBANKA_145910
PbGEM-239637	PBANKA_082030
PbGEM-258539	PBANKA_144490
PbGEM-241496	PBANKA_102970
PbGEM-254500	PBANKA_142750
PbGEM-258421	PBANKA_144400
PbGEM-237372	PBANKA_081110
PbGEM-264084	PBANKA_110320
PbGEM-265612	PBANKA_071830
PbGEM-265044	PBANKA_071750
PbGEM-264324	PBANKA_134650
PbGEM-238901	PBANKA_081760
PbGEM-280034	PBANKA_070130
PbGEM-277538	PBANKA_060610
PbGEM-317331	PBANKA_135750
PbGEM-282066	PBANKA_071650
PbGEM-276786	PBANKA_052480
PbGEM-327715	PBANKA_010620
PbGEM-291216	PBANKA_093380
PbGEM-336355	PBANKA_121140
PbGEM-299651	PBANKA_111610
PbGEM-305842	PBANKA_121680
PbGEM-337299	PBANKA_124380
PbGEM-328947	PBANKA_040780
PbGEM-329547	PBANKA_051060
PbGEM-299083	PBANKA_111050
PbGEM-341908	PBANKA_050230
PbGEM-341828	PBANKA_040220
PbGEM-341900	PBANKA_050170
PbGEM-341892	PBANKA_041770
PbGEM-342636	PBANKA_112670
PbGEM-342804	PBANKA_121040
PbGEM-343316	PBANKA_142530
PbGEM-342140	PBANKA_082380
PbGEM-342364	PBANKA_094010
PbGEM-343036	PBANKA_131870
PbGEM-333419	PBANKA_100210
PbGEM-276002	PBANKA_051900
PbGEM-303170	PBANKA_114370
PbGEM-287946	PBANKA_090780
PbGEM-329923	PBANKA_060090
PbGEM-266691	PBANKA_010580
PbGEM-303650	PBANKA_120110
PbGEM-270099	PBANKA_030650
PbGEM-336251	PBANKA_120710
PbGEM-298853	PBANKA_110890
PbGEM-329395	PBANKA_050630
PbGEM-283762	PBANKA_080810
PbGEM-334995	PBANKA_111090
PbGEM-304362	PBANKA_120570
PbGEM-270810	PBANKA_031210
PbGEM-329451	PBANKA_050790
PbGEM-299227	PBANKA_111210
PbGEM-288322	PBANKA_091100
PbGEM-289193	PBANKA_091690
PbGEM-331667	PBANKA_081840
PbGEM-337907	PBANKA_131940
PbGEM-337971	PBANKA_132100
PbGEM-313053	PBANKA_132320
PbGEM-334315	PBANKA_103040
PbGEM-334403	PBANKA_103330
PbGEM-322779	PBANKA_143500
PbGEM-334467	PBANKA_103460
PbGEM-336035	PBANKA_114550
PbGEM-330067	PBANKA_060690
PbGEM-336347	PBANKA_121090
PbGEM-317507	PBANKA_135870
PbGEM-316451	PBANKA_134970
PbGEM-273898	PBANKA_050330
PbGEM-342756	PBANKA_114140
PbGEM-330635	PBANKA_070490
PbGEM-226373	PBANKA_093230
PbGEM-226413	PBANKA_136370
PbGEM-334115	PBANKA_102460
PbGEM-329235	PBANKA_050120
PbGEM-266100	PBANKA_010110
PbGEM-321267	PBANKA_142210
PbGEM-072498	PBANKA_061670
PbGEM-343204	PBANKA_135970
PbGEM-061442	PBANKA_135960
PbGEM-329547	PBANKA_051060 
