Sample name	Sample description	Cl15cy1	GCKO2	145480	pr	t	b	d	mf	dr		
PbSTM168_13.2	PbSTM168_13_Cl15cy1STM_d7_mf1.1_r2	1	0	0	r2	NA	NA	d7	mf1	1		
PbSTM168_14.2	PbSTM168_14_Cl15cy1STM_d7_mf1.2_r2	1	0	0	r2	NA	NA	d7	mf1	2		
PbSTM168_15.2	PbSTM168_15_Cl15cy1STM_d7_mf2.1_r2	1	0	0	r2	NA	NA	d7	mf2	1		
PbSTM168_16.2	PbSTM168_16_Cl15cy1STM_d7_mf2.2_r2	1	0	0	r2	NA	NA	d7	mf2	2		
PbSTM168_17.2	PbSTM168_17_GCKO#2GOMOSTM_d7_mf1.1_r2	0	1	0	r2	NA	NA	d7	mf1	1		
PbSTM168_18.2	PbSTM168_18_GCKO#2GOMOSTM_d7_mf1.2_r2	0	1	0	r2	NA	NA	d7	mf1	2		
PbSTM168_19.2	PbSTM168_19_GCKO#2GOMOSTM_d7_mf2.1_r2	0	1	0	r2	NA	NA	d7	mf2	1		
PbSTM168_20.2	PbSTM168_20_GCKO#2GOMOSTM_d7_mf2.2_r2	0	1	0	r2	NA	NA	d7	mf2	2		
PbSTM168_21.2	PbSTM168_21_145480GOMOSTM_d7_mf1.1_r2	0	0	1	r2	NA	NA	d7	mf1	1		
PbSTM168_22.2	PbSTM168_22_145480GOMOSTM_d7_mf1.2_r2	0	0	1	r2	NA	NA	d7	mf1	2		
PbSTM168_23.2	PbSTM168_23_145480GOMOSTM_d7_mf2.1_r2	0	0	1	r2	NA	NA	d7	mf2	1		
PbSTM168_24.2	PbSTM168_24_145480GOMOSTM_d7_mf2.2_r2	0	0	1	r2	NA	NA	d7	mf2	2		
PbSTM168_25.2	PbSTM168_25_Cl15cy1STM_d14_mf1.1_r2	1	0	0	r2	NA	NA	d14	mf1	1		
PbSTM168_26.2	PbSTM168_26_Cl15cy1STM_d14_mf1.2_r2	1	0	0	r2	NA	NA	d14	mf1	2		
PbSTM168_27.2	PbSTM168_27_Cl15cy1STM_d14_mf2.1_r2	1	0	0	r2	NA	NA	d14	mf2	1		
PbSTM168_28.2	PbSTM168_28_Cl15cy1STM_d14_mf2.2_r2	1	0	0	r2	NA	NA	d14	mf2	2		
PbSTM168_29.2	PbSTM168_29_GCKO#2GOMOSTM_d14_mf1.1_r2	0	1	0	r2	NA	NA	d14	mf1	1		
PbSTM168_30.2	PbSTM168_30_GCKO#2GOMOSTM_d14_mf1.2_r2	0	1	0	r2	NA	NA	d14	mf1	2		
PbSTM168_31.2	PbSTM168_31_GCKO#2GOMOSTM_d14_mf2.1_r2	0	1	0	r2	NA	NA	d14	mf2	1		
PbSTM168_32.2	PbSTM168_32_GCKO#2GOMOSTM_d14_mf2.2_r2	0	1	0	r2	NA	NA	d14	mf2	2		
PbSTM168_33.2	PbSTM168_33_145480GOMOSTM_d14_mf1.1_r2	0	0	1	r2	NA	NA	d14	mf1	1		
PbSTM168_34.2	PbSTM168_34_145480GOMOSTM_d14_mf1.2_r2	0	0	1	r2	NA	NA	d14	mf1	2		
PbSTM168_35.2	PbSTM168_35_145480GOMOSTM_d14_mf2.1_r2	0	0	1	r2	NA	NA	d14	mf2	1		
PbSTM168_36.2	PbSTM168_36_145480GOMOSTM_d14_mf2.2_r2	0	0	1	r2	NA	NA	d14	mf2	2		
